collection (KNOWN)	matrix name	UniProt (HUMAN if exists, MOUSE otherwise)	Entrez gene ID (automatic mapping from UniProt)
hocomoco	CREB1_f1	CREB1_HUMAN	1385
hocomoco	CREM_f1	CREM_HUMAN	1390
hocomoco	CRX_si	CRX_HUMAN	1406
hocomoco	CTCF_f2	CTCF_HUMAN	10664
hocomoco	CUX1_f1	CUX1_HUMAN	1523
hocomoco	CXXC1_si	CXXC1_HUMAN	30827
hocomoco	DBP_si	DBP_HUMAN	1628
hocomoco	DDIT3_f1	DDIT3_HUMAN	1649
hocomoco	DLX2_f1	DLX2_HUMAN	1746
hocomoco	DLX3_do	DLX3_HUMAN	1747
hocomoco	E2F1_f2	E2F1_HUMAN	1869
hocomoco	E2F2_f1	E2F2_HUMAN	1870
hocomoco	E2F3_si	E2F3_HUMAN	1871
hocomoco	E2F4_do	E2F4_HUMAN	1874
hocomoco	E2F5_do	E2F5_HUMAN	1875
hocomoco	E2F6_f1	E2F6_HUMAN	1876
hocomoco	E2F7_f1	E2F7_HUMAN	144455
hocomoco	E4F1_f1	E4F1_HUMAN	1877
hocomoco	EGR1_f2	EGR1_HUMAN	1958
hocomoco	EGR2_si	EGR2_HUMAN	1959
hocomoco	EGR3_f1	EGR3_HUMAN	1960
hocomoco	EGR4_f1	EGR4_HUMAN	
hocomoco	EHF_si	EHF_HUMAN	26298
hocomoco	ELF1_f1	ELF1_HUMAN	1997
hocomoco	ELF2_f1	ELF2_HUMAN	1998
hocomoco	ELF3_f1	ELF3_HUMAN	1999
hocomoco	ELF5_f1	ELF5_HUMAN	2001
hocomoco	ELK1_f1	ELK1_HUMAN	2002
hocomoco	ELK3_f1	ELK3_HUMAN	2004
hocomoco	ELK4_f1	ELK4_HUMAN	2005
hocomoco	ENOA_si	ENOA_HUMAN	2023
hocomoco	EOMES_f1	EOMES_HUMAN	8320
hocomoco	EPAS1_si	EPAS1_HUMAN	2034
hocomoco	ERG_f1	ERG_HUMAN	2078
hocomoco	ERR1_f1	ERR1_HUMAN	2101
hocomoco	ERR2_f1	ERR2_HUMAN	2103
hocomoco	ERR3_f1	ERR3_HUMAN	2104
hocomoco	ESR1_do	ESR1_HUMAN	2099
hocomoco	ESR2_do	ESR2_HUMAN	2100
hocomoco	ESR2_si	ESR2_HUMAN	2100
hocomoco	ETS1_si	ETS1_HUMAN	2113
hocomoco	ETS2_f1	ETS2_HUMAN	2114
hocomoco	ETV4_f1	ETV4_HUMAN	2118
hocomoco	ETV5_f1	ETV5_HUMAN	2119
hocomoco	ETV7_si	ETV7_HUMAN	51513
hocomoco	EVI1_f1	EVI1_HUMAN	2122
hocomoco	FEV_f1	FEV_HUMAN	54738
hocomoco	FLI1_f1	FLI1_HUMAN	2313
hocomoco	FOSB_f1	FOSB_HUMAN	2354
hocomoco	FOSL1_f2	FOSL1_HUMAN	8061
hocomoco	FOSL2_f1	FOSL2_HUMAN	2355
hocomoco	FOS_si	FOS_HUMAN	2353
hocomoco	FOXA1_f1	FOXA1_HUMAN	3169
hocomoco	FOXA2_f1	FOXA2_HUMAN	3170
hocomoco	FOXA3_f1	FOXA3_HUMAN	3171
hocomoco	FOXC1_f1	FOXC1_HUMAN	2296
hocomoco	FOXC2_f1	FOXC2_HUMAN	2303
hocomoco	FOXD1_si	FOXD1_HUMAN	2297
hocomoco	FOXD3_f1	FOXD3_HUMAN	27022
hocomoco	FOXF1_f1	FOXF1_HUMAN	2294
hocomoco	FOXF2_f1	FOXF2_HUMAN	2295
hocomoco	FOXI1_f1	FOXI1_HUMAN	2299
hocomoco	FOXJ2_f1	FOXJ2_HUMAN	55810
hocomoco	FOXJ3_f2	FOXJ3_HUMAN	22887
hocomoco	FOXJ3_si	FOXJ3_HUMAN	22887
hocomoco	FOXM1_f1	FOXM1_HUMAN	2305
hocomoco	FOXO1_si	FOXO1_HUMAN	2308
hocomoco	FOXO3_si	FOXO3_HUMAN	2309
hocomoco	FOXO4_f1	FOXO4_HUMAN	4303
hocomoco	FOXP2_si	FOXP2_HUMAN	93986
hocomoco	FOXP3_f1	FOXP3_HUMAN	50943
hocomoco	FOXQ1_f1	FOXQ1_HUMAN	94234
hocomoco	FUBP1_f1	FUBP1_HUMAN	8880
hocomoco	GABP1+GABP2_f1	GABP1_HUMAN,GABP2_HUMAN	2553,126626
hocomoco	GABPA_f1	GABPA_HUMAN	2551
hocomoco	GATA1_si	GATA1_HUMAN	2623
hocomoco	GATA2_si	GATA2_HUMAN	2624
hocomoco	GATA3_si	GATA3_HUMAN	2625
hocomoco	GATA4_f1	GATA4_HUMAN	2626
hocomoco	GATA5_f1	GATA5_HUMAN	140628
hocomoco	GATA6_f2	GATA6_HUMAN	2627
hocomoco	GCM1_f1	GCM1_HUMAN	8521
hocomoco	GCR_do	GCR_HUMAN	2908
hocomoco	GCR_si	GCR_HUMAN	2908
hocomoco	GFI1B_f1	GFI1B_HUMAN	8328
hocomoco	GFI1_f1	GFI1_HUMAN	2672
hocomoco	GLI1_f1	GLI1_HUMAN	2735
hocomoco	GLI2_f1	GLI2_HUMAN	2736
hocomoco	GLI3_si	GLI3_HUMAN	2737
hocomoco	GLIS3_f1	GLIS3_HUMAN	169792
hocomoco	HAND1_si	HAND1_HUMAN	9421
hocomoco	HBP1_f1	HBP1_HUMAN	26959
hocomoco	HEN1_si	HEN1_HUMAN	4807
hocomoco	HES1_f1	HES1_HUMAN	3280
hocomoco	HESX1_f1	HESX1_HUMAN	8820
hocomoco	HEY2_f1	HEY2_HUMAN	23493
hocomoco	HIC1_si	HIC1_HUMAN	3090
hocomoco	HIF1A_si	HIF1A_HUMAN	3091
hocomoco	HINFP_f1	HINFP_HUMAN	25988
hocomoco	HLF_si	HLF_HUMAN	3131
hocomoco	HLTF_f1	HLTF_HUMAN	6596
hocomoco	HMGA1_f1	HMGA1_HUMAN	3159
hocomoco	HMGA2_f1	HMGA2_HUMAN	8091
hocomoco	HNF1A_f1	HNF1A_HUMAN	6927
hocomoco	HNF1B_f1	HNF1B_HUMAN	6928
hocomoco	HNF4A_f1	HNF4A_HUMAN	3172
hocomoco	HNF4G_f1	HNF4G_HUMAN	3174
hocomoco	HNF6_f1	HNF6_HUMAN	3175
hocomoco	HSF1_f2	HSF1_HUMAN	3297
hocomoco	HSF2_si	HSF2_HUMAN	3298
hocomoco	HTF4_f1	HTF4_HUMAN	6938
hocomoco	HXA10_f1	HXA10_HUMAN	3206
hocomoco	HXA13_f1	HXA13_HUMAN	3209
hocomoco	HXA1_f1	HXA1_HUMAN	3198
hocomoco	HXA5_si	HXA5_HUMAN	3202
hocomoco	HXA7_f1	HXA7_HUMAN	3204
hocomoco	HXA9_f1	HXA9_HUMAN	3205
hocomoco	HXB1_f1	HXB1_HUMAN	3211
hocomoco	HXB6_f1	HXB6_HUMAN	3216
hocomoco	HXB7_si	HXB7_HUMAN	3217
hocomoco	HXB8_do	HXB8_HUMAN	3218
hocomoco	HXC6_f1	HXC6_HUMAN	3223
hocomoco	HXC8_f1	HXC8_HUMAN	3224
hocomoco	HXD10_f1	HXD10_HUMAN	3236
hocomoco	HXD13_f1	HXD13_HUMAN	3239
hocomoco	HXD4_f1	HXD4_HUMAN	3233
hocomoco	HXD9_f1	HXD9_HUMAN	3235
hocomoco	IKZF1_f1	IKZF1_HUMAN	10320
hocomoco	INSM1_f1	INSM1_HUMAN	3642
hocomoco	IRF1_si	IRF1_HUMAN	3659
hocomoco	IRF2_f1	IRF2_HUMAN	3660
hocomoco	IRF3_f1	IRF3_HUMAN	3661
hocomoco	IRF4_si	IRF4_HUMAN	3662
hocomoco	IRF5_f1	IRF5_HUMAN	3663
hocomoco	IRF7_f1	IRF7_HUMAN	3665
hocomoco	IRF8_si	IRF8_HUMAN	3394
hocomoco	IRF9_f1	IRF9_HUMAN	10379
hocomoco	ISL1_f1	ISL1_HUMAN	3670
hocomoco	ITF2_f1	ITF2_HUMAN	6925
hocomoco	JUNB_f1	JUNB_HUMAN	3726
hocomoco	JUND_f1	JUND_HUMAN	3727
hocomoco	JUN_f1	JUN_HUMAN	3725
hocomoco	KAISO_f1	KAISO_HUMAN	10009
hocomoco	KLF15_f1	KLF15_HUMAN	28999
hocomoco	KLF1_f1	KLF1_HUMAN	10661
hocomoco	KLF3_f1	KLF3_HUMAN	51274
hocomoco	KLF4_f2	KLF4_HUMAN	9314
hocomoco	KLF6_si	KLF6_HUMAN	1316
hocomoco	KLF8_f1	KLF8_HUMAN	11279
hocomoco	LEF1_f1	LEF1_HUMAN	51176
hocomoco	LHX2_f1	LHX2_HUMAN	9355
hocomoco	LHX3_f1	LHX3_HUMAN	8022
hocomoco	MAFA_f1	MAFA_HUMAN	389692
hocomoco	MAFB_f1	MAFB_HUMAN	9935
hocomoco	MAFG_si	MAFG_HUMAN	4097
hocomoco	MAFK_si	MAFK_HUMAN	7975
hocomoco	MAF_f1	MAF_HUMAN	4094
hocomoco	MAX_f1	MAX_HUMAN	4149
hocomoco	MAZ_f1	MAZ_HUMAN	4150
hocomoco	MBD2_si	MBD2_HUMAN	8932
hocomoco	MCR_f1	MCR_HUMAN	4306
hocomoco	MECP2_f1	MECP2_HUMAN	4204
hocomoco	MEF2A_f1	MEF2A_HUMAN	4205
hocomoco	MEF2C_f1	MEF2C_HUMAN	4208
hocomoco	MEF2D_f1	MEF2D_HUMAN	4209
hocomoco	MEIS1_f2	MEIS1_HUMAN	4211
hocomoco	MEIS2_do	MEIS2_HUMAN	4212
hocomoco	MITF_f1	MITF_HUMAN	4286
hocomoco	MLXPL_f1	MLXPL_HUMAN	51085
hocomoco	MSX2_f1	MSX2_HUMAN	4488
hocomoco	MTF1_f1	MTF1_HUMAN	4520
hocomoco	MYBB_f1	MYBB_HUMAN	4605
hocomoco	MYB_f1	MYB_HUMAN	4602
hocomoco	MYCN_si	MYCN_HUMAN	4613
hocomoco	MYC_f1	MYC_HUMAN	4609
hocomoco	MYF6_f1	MYF6_HUMAN	4618
hocomoco	MYOD1_f1	MYOD1_HUMAN	4654
hocomoco	MYOG_f1	MYOG_HUMAN	4656
hocomoco	MZF1_f1	MZF1_HUMAN	7593
hocomoco	NANOG_f1	NANOG_HUMAN	79923
hocomoco	NDF1_f1	NDF1_HUMAN	4760
hocomoco	NF2L1_f1	NF2L1_HUMAN	4779
hocomoco	NF2L2_si	NF2L2_HUMAN	4780
hocomoco	NFAC1_do	NFAC1_HUMAN	4772
hocomoco	NFAC1_si	NFAC1_HUMAN	4772
hocomoco	NFAC2_f1	NFAC2_HUMAN	4773
hocomoco	NFAC3_f1	NFAC3_HUMAN	4775
hocomoco	NFAC4_f1	NFAC4_HUMAN	4776
hocomoco	NFAT5_f1	NFAT5_HUMAN	10725
hocomoco	NFE2_f2	NFE2_HUMAN	4778
hocomoco	NFIA+NFIB+NFIC+NFIX_f2	NFIA_HUMAN,NFIB_HUMAN,NFIC_HUMAN,NFIX_HUMAN	4774,4781,4782,4784
hocomoco	NFIA+NFIB+NFIC+NFIX_si	NFIA_HUMAN,NFIB_HUMAN,NFIC_HUMAN,NFIX_HUMAN	4774,4781,4782,4784
hocomoco	NFIL3_si	NFIL3_HUMAN	4783
hocomoco	NFKB1_f1	NFKB1_HUMAN	4790
hocomoco	NFKB2_f1	NFKB2_HUMAN	4791
hocomoco	NFYA_f1	NFYA_HUMAN	4800
hocomoco	NFYB_f1	NFYB_HUMAN	4801
hocomoco	NFYC_f1	NFYC_HUMAN	4802
hocomoco	NKX21_f1	NKX21_HUMAN	7080
hocomoco	NKX22_si	NKX22_HUMAN	4821
hocomoco	NKX25_f1	NKX25_HUMAN	1482
hocomoco	NKX28_f1	NKX28_HUMAN	26257
hocomoco	NKX31_si	NKX31_HUMAN	4824
hocomoco	NKX32_f1	NKX32_HUMAN	579
hocomoco	NOBOX_si	NOBOX_HUMAN	135935
hocomoco	NR0B1_si	NR0B1_HUMAN	190
hocomoco	NR1D1_f1	NR1D1_HUMAN	9572
hocomoco	NR1H2_f1	NR1H2_HUMAN	7376
hocomoco	NR1H4_f1	NR1H4_HUMAN	9971
hocomoco	NR1I2_f2	NR1I2_HUMAN	8856
hocomoco	NR1I2_si	NR1I2_HUMAN	8856
hocomoco	NR1I3_f2	NR1I3_HUMAN	9970
hocomoco	NR1I3_si	NR1I3_HUMAN	9970
hocomoco	NR2C1_si	NR2C1_HUMAN	7181
hocomoco	NR2C2_f1	NR2C2_HUMAN	7182
hocomoco	NR2E3_f1	NR2E3_HUMAN	10002
hocomoco	NR2F6_f1	NR2F6_HUMAN	2063
hocomoco	NR4A1_f1	NR4A1_HUMAN	3164
hocomoco	NR4A2_si	NR4A2_HUMAN	4929
hocomoco	NR4A3_f1	NR4A3_HUMAN	8013
hocomoco	NR5A2_f1	NR5A2_HUMAN	2494
hocomoco	NR6A1_do	NR6A1_HUMAN	2649
hocomoco	NRF1_f1	NRF1_HUMAN	4899
hocomoco	ONEC2_si	ONEC2_HUMAN	9480
hocomoco	OTX1_f1	OTX1_HUMAN	5013
hocomoco	OTX2_si	OTX2_HUMAN	5015
hocomoco	OVOL1_f1	OVOL1_HUMAN	5017
hocomoco	P53_f2	P53_HUMAN	7157
hocomoco	P63_si	P63_HUMAN	8626
hocomoco	P73_si	P73_HUMAN	7161
hocomoco	PAX2_f1	PAX2_HUMAN	5076
hocomoco	PAX2_si	PAX2_HUMAN	5076
hocomoco	PAX5_f1	PAX5_HUMAN	5079
hocomoco	PAX5_si	PAX5_HUMAN	5079
hocomoco	PAX6_f1	PAX6_HUMAN	5080
hocomoco	PAX8_f1	PAX8_HUMAN	7849
hocomoco	PBX1_do	PBX1_HUMAN	5087
hocomoco	PBX2_f1	PBX2_HUMAN	5089
hocomoco	PBX3_f2	PBX3_HUMAN	5090
hocomoco	PDX1_do	PDX1_HUMAN	3651
hocomoco	PEBB_f1	PEBB_HUMAN	865
hocomoco	PIT1_f1	PIT1_HUMAN	5449
hocomoco	PITX2_si	PITX2_HUMAN	5308
hocomoco	PKNX1_si	PKNX1_HUMAN	5316
hocomoco	PLAG1_f1	PLAG1_HUMAN	5324
hocomoco	PLAG1_si	PLAG1_HUMAN	5324
hocomoco	PLAL1_si	PLAL1_HUMAN	5325
hocomoco	PO2F1_f1	PO2F1_HUMAN	5451
hocomoco	PO2F2_si	PO2F2_HUMAN	5452
hocomoco	PO3F1_f1	PO3F1_HUMAN	5453
hocomoco	PO3F2_si	PO3F2_HUMAN	5454
hocomoco	PO4F2_si	PO4F2_HUMAN	5458
hocomoco	PO5F1_do	PO5F1_HUMAN	5460
hocomoco	PO6F1_f1	PO6F1_HUMAN	5463
hocomoco	PPARA_f1	PPARA_HUMAN	5465
hocomoco	PPARA_f2	PPARA_HUMAN	5465
hocomoco	PPARD_f1	PPARD_HUMAN	5467
hocomoco	PPARG_f1	PPARG_HUMAN	5468
hocomoco	PPARG_si	PPARG_HUMAN	5468
hocomoco	PRDM1_f1	PRDM1_HUMAN	639
hocomoco	PRGR_do	PRGR_HUMAN	5241
hocomoco	PRGR_f1	PRGR_HUMAN	5241
hocomoco	PROP1_f1	PROP1_HUMAN	5626
hocomoco	PRRX1_f1	PRRX1_HUMAN	5396
hocomoco	PRRX2_f1	PRRX2_HUMAN	51450
hocomoco	PTF1A_f1	PTF1A_HUMAN	256297
hocomoco	PURA_f1	PURA_HUMAN	5813
hocomoco	RARA_f1	RARA_HUMAN	5914
hocomoco	RARA_f2	RARA_HUMAN	5914
hocomoco	RARB_f1	RARB_HUMAN	5915
hocomoco	RARG_do	RARG_HUMAN	5916
hocomoco	RARG_f1	RARG_HUMAN	5916
hocomoco	RELB_si	RELB_HUMAN	5971
hocomoco	REL_do	REL_HUMAN	5966
hocomoco	REST_f1	REST_HUMAN	5978
hocomoco	RFX1_f1	RFX1_HUMAN	5989
hocomoco	RFX2_f1	RFX2_HUMAN	5990
hocomoco	RFX3_f1	RFX3_HUMAN	5991
hocomoco	RORA_f1	RORA_HUMAN	6095
hocomoco	RORG_f1	RORG_HUMAN	6097
hocomoco	RREB1_si	RREB1_HUMAN	6239
hocomoco	RUNX1_f1	RUNX1_HUMAN	861
hocomoco	RUNX2_f1	RUNX2_HUMAN	860
hocomoco	RUNX3_si	RUNX3_HUMAN	864
hocomoco	RXRA_f1	RXRA_HUMAN	6256
hocomoco	RXRB_f1	RXRB_HUMAN	6257
hocomoco	RXRG_f1	RXRG_HUMAN	6258
hocomoco	SMAD1_si	SMAD1_HUMAN	4086
hocomoco	SMAD2_si	SMAD2_HUMAN	4087
hocomoco	SMAD3_f1	SMAD3_HUMAN	4088
hocomoco	SMAD4_si	SMAD4_HUMAN	4089
hocomoco	SMRC1_f1	SMRC1_HUMAN	6599
hocomoco	SNAI1_f1	SNAI1_HUMAN	6615
hocomoco	SNAI2_f1	SNAI2_HUMAN	6591
hocomoco	SOX10_si	SOX10_HUMAN	6663
hocomoco	SOX13_f1	SOX13_HUMAN	9580
hocomoco	SOX15_f1	SOX15_HUMAN	6665
hocomoco	SOX17_f2	SOX17_HUMAN	64321
hocomoco	SOX18_f1	SOX18_HUMAN	54345
hocomoco	SOX2_f1	SOX2_HUMAN	6657
hocomoco	SOX4_f1	SOX4_HUMAN	6659
hocomoco	SOX5_f1	SOX5_HUMAN	6660
hocomoco	SOX9_f1	SOX9_HUMAN	6662
hocomoco	SP1_f1	SP1_HUMAN	6667
hocomoco	SP1_f2	SP1_HUMAN	6667
hocomoco	SP2_si	SP2_HUMAN	6668
hocomoco	SP3_f1	SP3_HUMAN	6670
hocomoco	SP4_f1	SP4_HUMAN	6671
hocomoco	SPI1_si	SPI1_HUMAN	6688
hocomoco	SPIB_f1	SPIB_HUMAN	6689
hocomoco	SPZ1_f1	SPZ1_HUMAN	84654
hocomoco	SRBP1_f2	SRBP1_HUMAN	6720
hocomoco	SRBP2_f1	SRBP2_HUMAN	6721
hocomoco	SRF_do	SRF_HUMAN	6722
hocomoco	SRY_f1	SRY_HUMAN	6736
hocomoco	STA5A_do	STA5A_HUMAN	6776
hocomoco	STA5B_f1	STA5B_HUMAN	6777
hocomoco	STAT1_f2	STAT1_HUMAN	6772
hocomoco	STAT2_f1	STAT2_HUMAN	6773
hocomoco	STAT3_si	STAT3_HUMAN	6774
hocomoco	STAT4_si	STAT4_HUMAN	6775
hocomoco	STAT6_do	STAT6_HUMAN	6778
hocomoco	STF1_f1	STF1_HUMAN	2516
hocomoco	SUH_f1	SUH_HUMAN	3516
hocomoco	TAL1_f1	TAL1_HUMAN	6886
hocomoco	TAL1_f2	TAL1_HUMAN	6886
hocomoco	TBP_f1	TBP_HUMAN	6908
hocomoco	TBX2_f1	TBX2_HUMAN	6909
hocomoco	TBX3_f1	TBX3_HUMAN	6926
hocomoco	TBX5_si	TBX5_HUMAN	6910
hocomoco	TCF7_f1	TCF7_HUMAN	6932
hocomoco	TEAD1_f1	TEAD1_HUMAN	7003
hocomoco	TEAD3_si	TEAD3_HUMAN	7005
hocomoco	TEAD4_f1	TEAD4_HUMAN	7004
hocomoco	TEF_f1	TEF_HUMAN	7008
hocomoco	TF65_f2	TF65_HUMAN	5970
hocomoco	TF7L2_f1	TF7L2_HUMAN	6934
hocomoco	TFAP4_si	TFAP4_HUMAN	7023
hocomoco	TFCP2_f1	TFCP2_HUMAN	7024
hocomoco	TFDP1_f1	TFDP1_HUMAN	7027
hocomoco	TFE2_f2	TFE2_HUMAN	6929
hocomoco	TFE3_f1	TFE3_HUMAN	7030
hocomoco	TFEB_f1	TFEB_HUMAN	7942
hocomoco	TGIF1_f1	TGIF1_HUMAN	7050
hocomoco	TGIF1_si	TGIF1_HUMAN	7050
hocomoco	THA_f1	THA_HUMAN	7067
hocomoco	THA_f2	THA_HUMAN	7067
hocomoco	THB_do	THB_HUMAN	7068
hocomoco	THB_f1	THB_HUMAN	7068
hocomoco	TLX1_f1	TLX1_HUMAN	3195
hocomoco	TLX1_f2	TLX1_HUMAN	3195
hocomoco	TWST1_f1	TWST1_HUMAN	7291
hocomoco	TYY1_f2	TYY1_HUMAN	7528
hocomoco	UBIP1_f1	UBIP1_HUMAN	7342
hocomoco	USF1_f1	USF1_HUMAN	7391
hocomoco	USF2_f1	USF2_HUMAN	7392
hocomoco	VDR_f1	VDR_HUMAN	7421
hocomoco	VDR_f2	VDR_HUMAN	7421
hocomoco	VSX2_si	VSX2_HUMAN	338917
hocomoco	WT1_f1	WT1_HUMAN	7490
hocomoco	XBP1_f1	XBP1_HUMAN	7494
hocomoco	YBOX1_f2	YBOX1_HUMAN	4904
hocomoco	ZBT7A_f1	ZBT7A_HUMAN	51341
hocomoco	ZBT7B_si	ZBT7B_HUMAN	51043
hocomoco	ZBTB4!METH_f1	ZBTB4_HUMAN	57659
hocomoco	ZBTB4_si	ZBTB4_HUMAN	57659
hocomoco	ZBTB6_si	ZBTB6_HUMAN	10773
hocomoco	ZEB1_do	ZEB1_HUMAN	6935
hocomoco	ZEP1_f1	ZEP1_HUMAN	3096
hocomoco	ZEP2_si	ZEP2_HUMAN	3097
hocomoco	ZFHX3_f1	ZFHX3_HUMAN	463
hocomoco	ZFX_f1	ZFX_HUMAN	7543
hocomoco	ZIC1_f1	ZIC1_HUMAN	7545
hocomoco	ZIC2_f1	ZIC2_HUMAN	7546
hocomoco	ZIC3_f1	ZIC3_HUMAN	7547
hocomoco	ZN143_si	ZN143_HUMAN	7702
hocomoco	ZN148_si	ZN148_HUMAN	7707
hocomoco	ZN219_f1	ZN219_HUMAN	51222
hocomoco	ZN238_f1	ZN238_HUMAN	10472
hocomoco	ZN333_f1	ZN333_HUMAN	84449
hocomoco	ZN350_f1	ZN350_HUMAN	59348
hocomoco	ZN384_f1	ZN384_HUMAN	171017
hocomoco	ZN423_f1	ZN423_HUMAN	23090
hocomoco	ZN589_f1	ZN589_HUMAN	51385
homer	TFAP2C_MCF7-TFAP2c-ChIP-Seq	AP2C_HUMAN	7022
homer	TFAP2A_Hela-AP2alpha-ChIP-Seq	AP2A_HUMAN	7020
homer	AR_LNCAP-AR-ChIP-Seq	ANDR_HUMAN	367
homer	ATF3_K562-ATF3-ChIP-Seq	ATF3_HUMAN	467
homer	ATOH1_Cerebellum-Atoh1-ChIP-Seq	ATOH1_HUMAN	474
homer	BCL6_Liver-Bcl6-ChIP-Seq(GSE31578)	BCL6_HUMAN	604
homer	BHLHE40_HepG2-BHLHE40-ChIP-Seq	BHE40_HUMAN	8553
homer	MYBL2_Hela-BMYB-ChIPSeq(GSE27030)	MYBB_HUMAN	4605
homer	CTCFL_K562-CTCFL-ChIP-Seq	CTCFL_HUMAN	140690
homer	CDX2_mES-Cdx2-ChIP-Seq	CDX2_HUMAN	1045
homer	CEBPB_ThioMac-CEBPb-ChIP-Seq	CEBPB_HUMAN	1051
homer	CEBPB_CEBPb-ChIP-Seq	CEBPB_HUMAN	1051
homer	MYC_LNCAP-cMyc-ChIP-Seq	MYC_HUMAN	4609
homer	MYC_mES-cMyc-ChIP-Seq	MYC_HUMAN	4609
homer	CRX_Retina-Crx-ChIP-Seq	CRX_HUMAN	1406
homer	CTCF_CD4+-CTCF-ChIP-Seq	CTCF_HUMAN	10664
homer	DMC1_Testis-DMC1-ChIP-Seq	DMC1_HUMAN	11144
homer	TCF3_proBcell-E2A-ChIP-Seq	TFE2_HUMAN	6929
homer	E2F1_Hela-E2F1-ChIP-Seq	E2F1_HUMAN	1869
homer	E2F7_Hela-E2F7-ChIP-Seq(GSE32673)	E2F7_HUMAN	144455
homer	EBF1_proBcell-EBF-ChIP-Seq	COE1_HUMAN	1879
homer	EBNA1_Raji-EBNA1-ChIP-Seq(GSE30709)	-	-
homer	EGR1_K562-EGR1-ChIP-Seq	EGR1_HUMAN	1958
homer	EGR2_Thymocytes-Egr2-ChIP-Seq(GSE34254)	EGR2_HUMAN	1959
homer	KLF1_Erythrocyte-Klf1-ChIP-Seq	KLF1_HUMAN	10661
homer	ELF1_Jurkat-ELF1-ChIP-Seq	ELF1_HUMAN	1997
homer	EOMES_H9-Eomes-ChIP-Seq	EOMES_HUMAN	8320
homer	ESR1_MCF7-ERa-ChIP-Seq	ESR1_HUMAN	2099
homer	ERG_VCaP-ERG-ChIP-Seq	ERG_HUMAN	2078
homer	ESRRA_HepG2-Erra-ChIP-Seq	ERR1_HUMAN	2101
homer	ESRRB_mES-Esrrb-ChIP-Seq	ERR2_HUMAN	2103
homer	ETS1_Jurkat-ETS1-ChIP-Seq	ETS1_HUMAN	2113
homer	"TAL1_motifB;HPC7-Scl-ChIP-Seq"	TAL1_HUMAN	6886
homer	ETV1_GIST48-ETV1-ChIP-Seq	ETV1_HUMAN	2115
homer	"ERG_CADO_ES1-EWS;ERG-ChIP-Seq"	ERG_HUMAN	2078
homer	"FLI1_SK_N_MC-EWS;FLI1-ChIP-Seq"	FLI1_HUMAN	2313
homer	FOXA1_LNCAP-FOXA1-ChIP-Seq	FOXA1_HUMAN	3169
homer	FOXA1_MCF7-FOXA1-ChIP-Seq	FOXA2_HUMAN	3170
homer	FOXA2_Liver-Foxa2-ChIP-Seq	FOXO1_HUMAN	2308
homer	FOXO1_RAW-Foxo1-ChIP-Seq	FOXO1_HUMAN	2308
homer	FOXP1_H9-FOXP1-ChIP-Seq(GSE31006)	FOXP1_HUMAN	27086
homer	NR1H4_Liver-FXR-ChIP-Seq	NR1H4_HUMAN	9971
